iter	Passed	Remaining
0	526	1051569
1	890	889151
2	1266	842760
3	1629	813347
4	1994	795681
5	2365	786220
6	2727	776660
7	3090	769629
8	3456	764598
9	3822	760631
10	4185	756828
11	4556	754854
12	4934	754207
13	5309	753223
14	5685	752318
15	6059	751337
16	6441	751415
17	6811	750000
18	7186	749308
19	7557	748180
20	7927	747051
21	8298	746147
22	8676	745768
23	9047	744875
24	9423	744491
25	9800	744052
26	10173	743451
27	10545	742713
28	10922	742376
29	11287	741235
30	11681	741986
31	12038	740398
32	12405	739431
33	12767	738262
34	13128	737068
35	13492	736114
36	13858	735225
37	14219	734151
38	14602	734223
39	14988	734457
40	15367	734257
41	15748	734184
42	16176	736226
43	16579	737023
44	16954	736578
45	17337	736472
46	17723	736448
47	18096	735937
48	18464	735182
49	18850	735187
50	19252	735749
51	19624	735169
52	19992	734454
53	20360	733739
54	20723	732863
55	21090	732124
56	21454	731324
57	21819	730574
58	22196	730230
59	22573	729881
60	22949	729501
61	23341	729625
62	23731	729647
63	24100	729041
64	24477	728672
65	24852	728239
66	25225	727762
67	25596	727235
68	25961	726557
69	26328	725915
70	26695	725281
71	27073	724956
72	27443	724432
73	27813	723907
74	28191	723575
75	28594	723883
76	28967	723440
77	29338	722921
78	29714	722545
79	30100	722420
80	30503	722660
81	30863	721905
82	31231	721335
83	31589	720544
84	31949	719798
85	32326	719461
86	32703	719092
87	33072	718575
88	33438	717984
89	33807	717474
90	34178	716989
91	34568	716924
92	34951	716693
93	35364	717072
94	35772	717339
95	36164	717264
96	36536	716788
97	36897	716114
98	37262	715516
99	37626	714909
100	37985	714194
101	38352	713649
102	38718	713091
103	39107	712955
104	39473	712405
105	39840	711870
106	40210	711387
107	40578	710883
108	40954	710502
109	41325	710051
110	41696	709598
111	42063	709072
112	42438	708680
113	42817	708364
114	43202	708146
115	43576	707738
116	43939	707159
117	44309	706698
118	44683	706305
119	45052	705815
120	45425	705405
121	45800	705029
122	46176	704656
123	46544	704170
124	46907	703612
125	47270	703056
126	47636	702538
127	48004	702066
128	48371	701572
129	48738	701078
130	49109	700654
131	49507	700606
132	49871	700078
133	50243	699654
134	50615	699245
135	50989	698850
136	51353	698333
137	51723	697896
138	52092	697437
139	52458	696949
140	52831	696554
