Protocol,Seed,Median epoch,Min,Max
Random stratified 5-fold CV,13,37,25,65
Random stratified 5-fold CV,21,29,16,66
Random stratified 5-fold CV,42,44,12,75
Random stratified 5-fold CV,87,14,12,56
Random stratified 5-fold CV,101,47,24,65
Date-grouped 5-fold CV,13,20,15,60
Date-grouped 5-fold CV,21,28,15,40
Date-grouped 5-fold CV,42,22,13,69
Date-grouped 5-fold CV,87,21,5,48
Date-grouped 5-fold CV,101,22,14,61
Date-location grouped 5-fold CV,13,21,19,64
Date-location grouped 5-fold CV,21,47,4,73
Date-location grouped 5-fold CV,42,20,11,57
Date-location grouped 5-fold CV,87,16,8,50
Date-location grouped 5-fold CV,101,16,8,67
Date-location grouped (weighted stratify),13,23,12,73
Date-location grouped (weighted stratify),21,10,7,58
Date-location grouped (weighted stratify),42,25,5,69
Date-location grouped (weighted stratify),87,36,8,53
Date-location grouped (weighted stratify),101,16,8,24
Leave-one-period-out,13,25,16,34
Leave-one-period-out,21,8,5,13
Leave-one-period-out,42,30,25,40
Leave-one-period-out,87,27,9,30
Leave-one-period-out,101,28,24,30
Leave-one-state-out,13,15,9,20
Leave-one-state-out,21,18,16,34
Leave-one-state-out,42,21,17,47
Leave-one-state-out,87,22,11,43
Leave-one-state-out,101,17,14,40
