Protocol,Seed,Median epoch,Min,Max
Random stratified 5-fold CV,13,30,21,72
Random stratified 5-fold CV,21,45,9,63
Random stratified 5-fold CV,42,44,21,58
Random stratified 5-fold CV,87,14,12,50
Random stratified 5-fold CV,101,35,29,69
Date-grouped 5-fold CV,13,38,15,55
Date-grouped 5-fold CV,21,29,12,60
Date-grouped 5-fold CV,42,38,15,59
Date-grouped 5-fold CV,87,18,5,33
Date-grouped 5-fold CV,101,32,14,51
Date-location grouped 5-fold CV,13,21,9,60
Date-location grouped 5-fold CV,21,13,4,60
Date-location grouped 5-fold CV,42,11,7,57
Date-location grouped 5-fold CV,87,20,15,50
Date-location grouped 5-fold CV,101,20,8,54
Date-location grouped (weighted stratify),13,33,8,48
Date-location grouped (weighted stratify),21,20,11,47
Date-location grouped (weighted stratify),42,26,20,68
Date-location grouped (weighted stratify),87,32,14,59
Date-location grouped (weighted stratify),101,14,7,18
Leave-one-period-out,13,30,22,32
Leave-one-period-out,21,12,5,17
Leave-one-period-out,42,20,18,23
Leave-one-period-out,87,27,17,36
Leave-one-period-out,101,28,5,29
Leave-one-state-out,13,14,6,43
Leave-one-state-out,21,13,9,19
Leave-one-state-out,42,19,9,34
Leave-one-state-out,87,15,5,39
Leave-one-state-out,101,14,5,34
